word,x,y
china,46.674220806,13.2310818933
four,-18.4698486993,28.8666668783
being,-8.18249335546,-0.393542232234
down,-11.2385147172,10.2258687826
war,43.1166736185,-21.1820855691
back,-13.1128181376,9.36033336036
off,-12.2076597322,9.14774322772
south,-0.0746326912355,34.392805353
american,-24.1064326801,-1.30107284918
minister,6.82641591403,-44.3048369074
police,33.994587406,-28.2830474387
well,-2.33752955601,3.41624302942
including,4.06585977739,5.97999155842
team,-44.2630187744,5.40165530868
international,32.4843835061,9.29849393032
week,-21.9570931211,20.228843844
officials,17.221066858,-29.4143773438
still,-4.94282844342,-3.82914211449
both,-1.46207388657,2.87393201333
even,-1.77258440274,-6.1808775814
high,22.4324375796,33.623304298
part,-0.0585596530178,10.1344265801
told,3.61774795525,-31.5673077223
those,2.30092349561,0.565213442451
end,-14.4569251181,13.656341324
former,-7.87028306393,-41.6927894971
these,3.59034411011,1.60160505695
make,6.18165058491,-13.0374454014
billion,-11.2623243685,46.1998695019
work,-16.1968328773,-8.23363093731
our,3.16245392844,-13.1044650782
home,-5.57424929599,24.5265680374
school,-18.6803302899,-39.8618305159
party,20.4826470244,-38.6732737918
house,-19.9582312565,0.917601603075
old,-23.0531990817,-32.707087848
later,-18.0407899693,11.5658010628
get,2.88230533691,-17.3807553136
another,-3.6707935,9.86684121494
tuesday,-23.9426962695,24.3141451098
news,0.647542922404,-31.5197430063
long,-6.20517181492,3.75623386727
five,-18.0112607798,29.5219441278
called,-14.2705155157,-6.85975381014
1,-25.9123204405,37.6972364089
wednesday,-25.1076229797,23.6012418529
military,40.8302039998,-19.2751225845
way,-3.03911371597,-8.29866056249
used,11.4760730082,8.23292720648
much,-3.26946289704,-5.47242753564
next,-12.9645053589,15.5817775453
monday,-24.2065766288,23.4719444311
thursday,-23.2746563621,23.2038691638
friday,-24.2261301172,23.3835506683
game,-41.5715638673,6.10008778246
here,-6.32479703346,-7.32724185218
?,-1.13969095413,-20.8071038719
should,8.39056791702,-13.0772086234
take,7.39851044876,-13.7743803602
very,-6.64665266368,-14.621796227
my,-7.97102236218,-25.1999738511
north,-0.381787795589,34.2302424951
security,34.5378860302,-14.2364368011
season,-40.6643935629,7.18652361959
york,-43.6645517433,-13.4544222207
how,-0.167708859922,-15.6595564272
public,22.0333360793,15.329125835
early,-18.9897122245,13.9024114559
according,8.10631550086,-31.5484790114
several,1.64424080563,3.06083980865
court,23.9257139292,-30.6375144315
say,1.52342585056,-16.8328908948
around,-4.98614188381,25.3756529819
foreign,42.7039176506,-3.24471969946
10,-23.5691815402,40.7328396117
until,-15.0710643127,11.8883255023
set,-11.3831788574,13.9459990961
political,19.7851210582,-32.7452354341
says,3.84514453185,-23.1559908628
market,32.0600890697,28.0300529174
however,-1.58130886715,-3.05025455323
family,-23.0245821666,-28.2925768586
life,-17.4732788729,-23.8450497566
same,-4.06484427111,7.6915889163
general,-1.48527548885,-43.1874764459
–,-27.3355351735,35.9475220742
left,-16.4214558877,6.40209211778
good,-8.59749006796,-15.6492603888
top,-5.75921185624,14.6370556758
university,-19.6835896663,-40.7646656781
going,-1.87889827026,-19.2194574478
number,2.31936750325,4.95228653505
major,-2.36962362469,14.7349507616
known,-20.921583274,-10.092591652
points,-33.3204940977,19.2621535318
won,-39.168835333,14.8246536077
six,-18.8955040401,29.4019651515
month,-20.6987625434,20.5667838639
dollars,-9.63779176363,46.1226895385
bank,36.0533412568,24.4183186096
2,-25.5222864629,38.0699006641
iraq,45.0953384028,-13.397569759
use,11.9399827886,8.45978333477
members,10.5764887405,-40.5506931844
each,-2.0442139903,7.54612591246
area,-0.297122337325,29.0106181106
found,-13.3220207411,-2.98720892227
official,8.14461767247,-32.5914821492
sunday,-24.1841444062,21.9616004005
place,-25.3749782475,11.2750292453
go,4.01921417177,-16.7776330382
based,3.53381842987,10.8639328652
among,2.61032985653,3.7499886887
third,-31.3866524126,14.9133128917
times,-8.40273276361,8.57684666326
took,-17.7001465526,10.1617915126
right,2.6746996906,-9.67257366138
days,-21.8612021063,18.7636913615
local,2.46946821946,22.5041334085
economic,33.4224387481,13.740805837
countries,36.6641258911,1.97175966009
see,1.70732748874,-14.4914539883
best,-32.2303573781,2.92387063369
report,8.30471631043,-30.2798418514
killed,42.5019781382,-26.6410222198
held,-24.0635381646,13.9216082769
business,22.9185125242,17.7994717125
west,-0.351336095258,32.8125617858
does,2.76783143462,-15.2756828269
own,-0.616431087891,4.8020935301
%,-18.455367036,45.162900008
came,-17.2700303879,9.89816569828
law,30.8000866932,-15.8578775549
months,-18.7774811174,21.2192321702
women,-14.1877123288,-33.351063934
're,-6.16935921213,-19.6546863148
power,19.8727920999,8.47099904145
think,-4.13950329193,-19.2549090422
service,20.3097644688,13.0936013623
children,-18.0435574359,-27.586776385
bush,15.9568940028,-47.6339770309
show,-29.8031089278,-4.01068034897
/,-24.8647929716,32.4428469106
help,11.5104701,-14.1227068803
chief,-2.18143686775,-42.6251829463
saturday,-24.1938505236,22.0626290679
system,20.5255515841,9.74255086507
john,-35.0658083799,-28.2035649524
support,19.2644924914,-20.6871658611
series,-30.6433123574,-6.06761478649
play,-41.3470956918,5.05759646244
office,-6.01528357402,9.95861985804
following,-17.8209785174,15.4294290911
me,-4.91947478984,-22.2299741281
