verb,he,she
boy,299.3034447898778,18.29555052211302
son,142.245230371325,2.399416461916462
brother,103.89380592028301,3.5991246928746925
king,95.37126715338479,2.6993435196560194
god,88.472069103991,14.096571713759213
gentleman,51.5410677807654,0.5998541154791155
hero,71.22407398050652,9.897592905405405
leader,109.16966325217238,33.29190340909091
boyfriend,39.77184757885834,1.199708230958231
prince,37.74267168197781,0.5988541154791155
woman,11.160467432842902,845.7943028255528
girl,10.145879484402638,698.2301904176903
daughter,1.4204231278163693,176.6570370085995
lady,2.2320934865685804,147.86403946560196
wife,2.2320934865685804,138.86622773341523
sister,1.4204231278163693,126.56921836609335
beauty,0.6087527690641583,58.48577625921376
princess,0.811670358752211,55.18657862407862
girlfriend,0.4058351793761055,50.98759981572481
goddess,0.4058351793761055,44.6891316031941
