verb,he,she
handsome,199.6709082530439,3.299197635135135
tall,402.38558035140863,241.44128148034397
bald,48.29438634575656,5.398687039312039
drunk,192.365875024274,97.47629376535626
gay,40.989353116986656,5.698614097051597
lean,3397.8550393264436,3010.0679514742014
muscular,40.380600347922496,6.59839527027027
big,99.63253653683391,43.48942337223587
good-looking,29.625968094455704,2.6993435196560194
dead,742.8812958479612,594.1555013820638
beautiful,75.07950818457952,652.0414235257985
pregnant,2.6379286659446857,350.61473049754295
pretty,8.11670358752211,263.3359566953317
safe,185.66959456456829,376.7083845208845
lovely,6.087527690641583,57.88592214373464
female,2.0291758968805276,44.38920454545454
afraid,562.4875586152823,810.7028370700245
grateful,162.73990692981832,298.7273495085995
petite,0.6087527690641583,31.792268120393118
blonde,2.8408462556327385,35.691319871007366
