word,x,y
the,2.34476298161,0.0222473529303
",",4.64979546006,1.58236835934
.,2.9980745038,1.21889400538
of,3.12420956589,-0.130881534935
to,-7.18459268384,-7.35229572585
and,4.46894297913,0.965664324577
in,5.89690568341,2.43992939136
a,0.84114271302,-0.448393748205
"""",-6.55330604573,-18.442414156
's,-6.35406098267,3.67612536602
for,-0.726136997908,-1.53220798733
-,12.3424150355,-6.93740804121
that,-0.703172265511,-6.98717953734
on,3.13551855726,2.56045521561
is,2.86482516792,-5.18084061948
was,7.88426245016,-1.61605738525
said,1.76016329252,-20.1699399609
with,4.1834976469,1.21607146732
he,6.97607779643,0.124432594805
as,4.2641953035,-3.37865163109
it,-0.67865641817,-8.7405837309
by,4.82213629294,-0.329699915221
at,6.8295296463,3.73587503341
(,16.9096524946,23.7567330237
),16.8778708099,23.7746692067
from,3.87544793234,2.78493457779
his,-7.32323801095,6.02575335671
'',-1.38123721234,-20.5365798043
``,-1.40255178398,-20.5228362317
an,0.732228121949,-0.375516040798
be,-1.62453116246,-7.99569890459
has,5.78137786072,-2.04614868133
are,5.28232675378,-10.1562034526
have,5.0721564866,-9.13570395413
but,0.39113195144,-6.5191241677
were,6.43508065874,-10.2100391585
not,-2.05552859143,-7.70296084178
this,-0.332401309881,-5.05406792152
who,12.7006792113,-11.2652352156
they,2.13058853809,-11.1410441792
had,7.42428336935,-0.881284744766
i,-4.1999826108,-17.33095543
which,3.45745165133,-0.942196593281
will,-5.3867704367,-6.23747436196
their,-6.00611715614,1.38177846262
:,17.9261260383,22.8958513877
or,3.78957673133,-10.7160977829
its,-5.54380832203,2.8280581142
one,1.50400713495,-1.49477018643
after,4.36566977775,8.93658811863
new,3.12406770055,1.94042204711
been,6.72393662,-2.42941526702
also,5.05908303336,-3.22705984051
we,-2.81081758398,-16.0928149436
would,-4.79815767992,-7.16876782628
two,21.0993206079,15.3210997418
more,3.81895445805,-7.94873849416
',-7.7562653861,-2.31539272648
first,-0.688319362971,12.7256542402
about,3.40083996346,-9.18197887203
up,0.169542207491,4.15108081425
when,2.73337857942,6.33809708531
year,4.31912891481,13.6193640281
there,0.428951623226,-8.46889897213
all,5.81127221098,-9.4345990654
--,11.9851285369,-6.85466759113
out,0.345788358477,3.46808351389
she,-6.37032769472,6.7536154553
other,7.35680788999,-7.93051242673
people,7.02552291099,-11.3768384735
n't,-1.28306633265,-15.6999679453
her,-7.33773696621,6.34821839869
percent,12.5528097042,16.5167465802
than,3.73036926607,-7.95115150979
over,4.29542538375,3.87173470044
into,1.49095948585,3.38009038056
last,5.47863118514,12.028178743
some,5.46572576313,-8.43705002429
government,-20.8345557367,-11.0848621959
time,1.68826464215,1.71906127668
$,14.8981812621,18.5855659541
you,-3.05654352439,-18.0304378177
years,5.91953178085,13.8108377774
if,-3.20707661924,-8.30875956164
no,-1.81726359312,-6.78346943276
world,7.3269136589,6.25241320093
can,-4.56954850656,-8.76363097202
three,21.0371025666,15.7823415367
do,-1.16208324297,-16.0508338867
;,16.8712746061,22.7033448362
president,-21.8033823288,4.22885935054
only,1.52842165113,-3.36043289794
state,-18.5347449568,-12.2995916058
million,15.5533535328,18.6814673843
could,-4.40711396641,-7.30683724202
us,-15.5920803954,8.4405195311
most,4.63893013228,-5.36149329211
_,11.5617969141,-7.10410066165
against,-8.59629848197,4.66344304194
u.s.,-15.5632101286,8.54926967637
